id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<China NP period1>	weight<China NP period2>	weight<China NP period3>	weight<China NP period4>	weight<China NP R10 period1>	weight<China NP R10 period2>	weight<China NP R10 period3>	weight<China NP R10 period4>	weight<China NP R001 period1>	weight<China NP R001 period2>	weight<China NP R001 period3>	weight<China NP R001 period4>	weight<USA NP period1>	weight<USA NP period2>	weight<USA NP period3>	weight<USA NP period4>	weight<USA NP R10 period1>	weight<USA NP R10 period2>	weight<USA NP R10 period3>	weight<USA NP R10 period4>	weight<USA NP R001 period1>	weight<USA NP R001 period2>	weight<USA NP R001 period3>	weight<USA NP R001 period4>	weight<Japan NP period1>	weight<Japan NP period2>	weight<Japan NP period3>	weight<Japan NP period4>	weight<Japan NP R10 period1>	weight<Japan NP R10 period2>	weight<Japan NP R10 period3>	weight<Japan NP R10 period4>	weight<Japan NP R001 period1>	weight<Japan NP R001 period2>	weight<Japan NP R001 period3>	weight<Japan NP R001 period4>	weight<Germany NP period1>	weight<Germany NP period2>	weight<Germany NP period3>	weight<Germany NP period4>	weight<Germany NP R10 period1>	weight<Germany NP R10 period2>	weight<Germany NP R10 period3>	weight<Germany NP R10 period4>	weight<Germany NP R001 period1>	weight<Germany NP R001 period2>	weight<Germany NP R001 period3>	weight<Germany NP R001 period4>	weight<South Korea NP period1>	weight<South Korea NP period2>	weight<South Korea NP period3>	weight<South Korea NP period4>	weight<South Korea NP R10 period1>	weight<South Korea NP R10 period2>	weight<South Korea NP R10 period3>	weight<South Korea NP R10 period4>	weight<South Korea NP R001 period1>	weight<South Korea NP R001 period2>	weight<South Korea NP R001 period3>	weight<South Korea NP R001 period4>	weight<United Kingdom NP period1>	weight<United Kingdom NP period2>	weight<United Kingdom NP period3>	weight<United Kingdom NP period4>	weight<United Kingdom NP R10 period1>	weight<United Kingdom NP R10 period2>	weight<United Kingdom NP R10 period3>	weight<United Kingdom NP R10 period4>	weight<United Kingdom NP R001 period1>	weight<United Kingdom NP R001 period2>	weight<United Kingdom NP R001 period3>	weight<United Kingdom NP R001 period4>	weight<Taiwan NP period1>	weight<Taiwan NP period2>	weight<Taiwan NP period3>	weight<Taiwan NP period4>	weight<Taiwan NP R10 period1>	weight<Taiwan NP R10 period2>	weight<Taiwan NP R10 period3>	weight<Taiwan NP R10 period4>	weight<Taiwan NP R001 period1>	weight<Taiwan NP R001 period2>	weight<Taiwan NP R001 period3>	weight<Taiwan NP R001 period4>	weight<NP focus2 sum period1>	weight<NP R10 focus2 sum period1>	weight<NP R001 focus2 sum period1>	weight<NP focus2 sum period2>	weight<NP R10 focus2 sum period2>	weight<NP R001 focus2 sum period2>	weight<NP focus2 sum period3>	weight<NP R10 focus2 sum period3>	weight<NP R001 focus2 sum period3>	weight<NP focus2 sum period4>	weight<NP R10 focus2 sum period4>	weight<NP R001 focus2 sum period4>	weight<NP ALL>	score<ratio NP period1>	score<ratio NP R10 period1>	score<ratio NP R001 period1>	score<ratio NP period2>	score<ratio NP R10 period2>	score<ratio NP R001 period2>	score<ratio NP period3>	score<ratio NP R10 period3>	score<ratio NP R001 period3>	score<ratio NP period4>	score<ratio NP R10 period4>	score<ratio NP R001 period4>	score<diff top10 period1>	score<diff top10 period2>	score<diff top10 period3>	score<diff top10 period4>	score<diff top1 period1>	score<diff top1 period2>	score<diff top1 period3>	score<diff top1 period4>	score<avgyr>
Microwave Photonics	1.02	0.1495	2	99	76.1293	227	1507	2983	8541	9	99.8167	265.925	904.5242	0	5.57	25.52	79.41	581	1406	1973	2850	104.7667	287.2667	386.05	537.4405	14.63	36.57	52.49	83.32	91	149	284	401	6	1.0667	19	24.6038	0	0	3	0	76	294	406	520	7.1	65	87	94.9759	1	10	14.28	11	34	156	326	683	1	5	23	80.6509	0	1	2	13	218	506	616	893	21.2667	81	103.5	132.8509	3.02	12.21	13.53	16	52	119	179	233	0	9	14.875	31	0	1	4	8	409	61.675	7.76	910	119.4	19.37	1839	219.9833	13.71	2501	273.8721	29.705	11172	0.8386	0.9189	1	0.5176	0.7077	0.8467	0.2926	0.3992	0.7812	0.1767	0.2898	0.4969	8.9476	9.9907	6.1639	8.511	2.2624	2.8054	1.7601	2.6135	2012.660938
MoS2	-0.8032	0.079	1	99	112.0937	66	439	1301	2059	5	34.9	132.1667	194.5005	0	2.97	3	14.945	343	471	538	442	56.675	84.5	87.8167	79.3716	7.76	16.4	10.71	14.76	255	200	187	188	23	16	24.1	34.6659	0.18	0	4	6.4	26	50	104	85	1.9	8.675	21	9.1615	0	1	3.65	2	141	284	183	134	11.425	10	3	7.2033	4	1	0	0.58	82	122	142	179	12	12	22	22.922	0	0.63	2	2	88	196	221	135	4.425	13.5	14.1	13.3286	0	0	1	1	286	45.6	5.52	380	55.725	7.82	2695	359.6	34.94	17444	2247.5886	286.8525	31580	0.5245	0.6272	0.4565	0.4974	0.616	0.8721	0.5191	0.6855	0.6279	0.3076	0.3782	0.4434	6.5667	6.9572	8.8929	4.2712	-0.5259	3.0849	0.5652	1.0482	2017.201077
Multiferroics	-0.5771	0.197	4	99	117.0951	558	1632	3274	4003	52.86	136.8556	251.1106	309.8172	1	5	25.4567	26.78	546	1213	1563	1430	124.1933	198.0167	255.8242	153.6414	24.7	36.42	45.0517	13.33	475	715	690	683	54.8533	76.4	71.9833	44.7944	8.2	8.05	2	3.605	246	385	545	712	24	47	74.5857	86.6163	4	8.42	9	10.8	247	398	576	544	18	27	58.6494	39.75	2.42	1	9.375	3	172	266	387	367	23.86	42.4	76.5429	41.6069	1	9.42	14.375	3.33	127	202	317	272	10	14	17	31.4583	1	6	3	3	1104	177.0533	25.7	2845	334.8722	41.42	4837	506.9348	70.5083	5433	463.4587	40.11	36148	0.4946	0.7014	0.9611	0.4264	0.5913	0.8793	0.3231	0.5046	0.639	0.2632	0.3315	0.3323	13.2729	7.9388	8.6977	3.0045	4.3446	2.6961	2.1048	0.2632	2013.166814
Network-On-Chip	1.412	-0.1703	2	99	39.1015	131	193	545	824	3	8.4	30.4238	76.8112	0	0	1	14.15	1653	1187	1275	1118	249	176.35	201.6048	174.6407	25.72	22.46	27.37	21.075	242	162	158	149	5	8	11.1429	8.9968	0	1	1	0	232	137	153	261	14.7	16	24.1429	32.5343	1	0	4	1	212	199	240	279	7.575	8	16.9143	19.9371	1	0	2.02	0	185	131	190	272	12.575	16	23.4238	39.8593	1	4	1	8	175	117	168	112	6	1	7.15	6	1	0	0	1.24	1784	252	25.72	1380	184.75	22.46	1820	232.0286	28.37	1942	251.4519	35.225	14566	0.9266	0.9881	1	0.8601	0.9545	1	0.7005	0.8689	0.9648	0.5757	0.6945	0.5983	12.7734	10.5045	10.2298	6.2991	1.556	1.8922	1.9632	0.1678	2010.878621
Nonlocal Elasticity	-0.1109	-0.3134	4	99	45.6571	151	364	656	1521	19.1	73	62.875	145.6625	3.11	7.99	9	22.29	310	325	342	507	39.75	46	40	40.3958	7.67	6.14	5.06	6.7	34	38	32	27	5.25	1.5	2	4.4833	0	0	0	0	115	153	157	235	15.2333	10	9.9833	27.1208	2	0	0	4	20	22	43	72	2	0	10	15	0	0	1.3	4.59	64	92	140	188	6	9	15	18.9875	0.11	0	1.3	1	34	70	66	71	4	8	1	4	0	0	0	3	461	58.85	10.78	689	119	14.13	998	102.875	14.06	2028	186.0583	28.99	14893	0.6725	0.6754	0.7115	0.4717	0.3866	0.4345	0.3427	0.3888	0.3599	0.25	0.2171	0.2311	0.1736	-5.9011	2.1113	-1.6091	0.4146	-0.3058	0.1076	-0.144	2014.030417
OLEDs	-0.7023	-0.0574	1	99	114.3864	1431	2544	2653	3905	87.04	227.3698	268.63	506.492	7	23.92	21.83	40.77	1257	856	602	610	249.16	158.4698	89.5	67.2755	39.405	17	8.2267	11	817	828	666	753	59.65	67.7071	126	109.3121	5.43	14	26.495	23.74	725	523	511	565	85.55	104.7556	92	57.4688	9	13.2	8	4.065	745	1187	1185	1299	30	74.2349	82	102.8042	1	2.54	10	10	612	400	359	499	96.9	75.5556	67	121.5585	4	6.62	5	16.935	458	797	524	462	86.61	100.4571	46.99	61.4542	8.155	8	4	8	2688	336.2	46.405	3400	385.8397	40.92	3255	358.13	30.0567	4515	573.7674	51.77	31778	0.4676	0.7411	0.8492	0.2518	0.4107	0.4154	0.1849	0.2499	0.2737	0.1351	0.1173	0.2125	13.7393	9.5753	4.7416	-1.9416	2.6457	1.0457	0.5437	0.7592	2011.081471
Optical Networks	1.0732	0.1369	2	99	69.2951	589	1048	1418	1846	22	53.3476	103.4583	162.1539	0	0	9	14.92	1770	1233	943	659	301.2583	201.5243	147.0833	130.1482	37.31	15.91	13.19	16.1	750	591	537	506	54.0833	74.061	57.3583	47.5741	2.18	5.79	6.69	7.67	246	252	265	261	29.0083	48.9143	54.3	83.3093	3	5	6	17.52	405	248	141	105	18	9.28	2	9	2	1	0	0	257	329	358	350	27	44.931	62.75	65.658	4.75	7.91	5.39	11.67	161	195	77	63	8.9333	8	3	2	1	0	0	0	2359	323.2583	37.31	2281	254.8719	15.91	2361	250.5417	22.19	2505	292.3021	31.02	22106	0.7503	0.9319	1	0.5406	0.7907	1	0.3994	0.5871	0.5944	0.2631	0.4453	0.519	13.2851	11.2538	8.3013	10.9653	2.1079	1.2903	0.764	1.6349	2010.366914
Optical Refrigeration	-0.2021	0.476	3	99	115.4574	24	34	36	136	0	0	1.75	10.7	0	0	0	0	150	151	99	140	26.6	23	13.35	19.1167	3.01	2.13	1.94	2.265	68	63	52	66	2	5.65	8.5	5.5667	0	0.67	0	1	28	19	18	21	1	2	3	2	0	0	0.44	1	10	7	3	7	0	0	0	0	0	0	0	0	31	31	6	18	5	3.65	1	2.4333	0	0	0	0	8	3	3	5	0.9	0	1	2	0	0	0	0	174	26.6	3.01	185	23	2.13	135	15.1	1.94	276	29.8167	2.265	1463	0.8621	1	1	0.8162	1	1	0.7333	0.8841	1	0.5072	0.6411	1	17.7333	15.2318	8.6237	5.7871	2.0067	1.4106	1.9596	1.6179	2011.030075
Organic Conductors	-1.0665	0.1501	1	99	81.9864	335	392	294	152	25.9	19.8667	14	15.9542	4	0	2	2.35	536	265	198	178	77.4567	37.4333	34	30.9667	7.38	5.26	4.3	6.15	1653	836	567	547	135.9	91.5867	61.2083	63.425	17.715	15.82	8.78	6.12	281	169	147	156	45.18	24.4333	28	26.0208	7.2	1.26	2.01	4.05	57	42	26	17	2	0	0	1	0	0	0	0.07	249	114	62	75	32.18	11	9	8.3333	0	1	2.19	1	12	5	2	12	1	1	0	2	0	0	0	0	871	103.3567	11.38	657	57.3	5.26	492	48	6.3	330	46.9208	8.5	8969	0.6154	0.7494	0.6485	0.4033	0.6533	1	0.4024	0.7083	0.6825	0.5394	0.66	0.7235	6.7195	9.0578	12.4098	6.9008	0.1828	1.9849	1.4914	1.909	2008.153529
Organic Solar Cells	-0.7552	-0.2514	1	99	113.2947	212	1272	4355	8041	7	88.12	438.4264	1313.7955	0	10	59.82	188.5867	905	2016	3906	3583	202.6333	422.07	789.8418	640.4139	17	47.93	99.15	72.0433	822	1572	2155	2098	20	78.695	129.1073	105.1856	1	8	11	5	784	1256	2027	2207	73	151.84	278.2645	237.3436	7.99	11.23	15.16	16.3333	184	977	2421	2678	5	61	182.0073	259.6767	1	6	18	26.02	317	629	1058	1282	45.6333	104	188.7673	207.8862	5	10.05	21	18	44	425	953	675	4	28.1	63.94	41.6954	0	2	4	2	1117	209.6333	17	3288	510.19	57.93	8261	1228.2682	158.97	11624	1954.2094	260.63	55192	0.8102	0.9666	1	0.6131	0.8273	0.8274	0.4728	0.6431	0.6237	0.3082	0.3277	0.2764	19.0885	14.0083	10.154	1.535	1.8785	1.5913	1.1648	-0.3346	2013.588672
Perovskite Solar Cells	-0.946	-0.1633	1	99	95.5916	53	112	768	13102	5	16.5	36	1451.3864	1	2.05	3.98	143.0067	49	32	420	4229	18.3	4.7	74.1	714.0932	3.29	0.17	5	85.3433	174	78	180	1373	20	11.5	11	136.7792	2.48	2	2	21.7667	53	25	104	1391	4	2	14	192.2733	0	0	2	25	23	6	165	1975	2	0	31.4	204.5452	0	0	6.31	30.49	7	14	180	1369	1	3	47	220.261	0	0.17	6.66	26.5233	4	7	58	745	2	0	3	47	0	0	0	3.5233	102	23.3	4.29	144	21.2	2.22	1188	110.1	8.98	17331	2165.4796	228.35	28991	0.4804	0.7854	0.7669	0.2222	0.2217	0.0766	0.3535	0.673	0.5568	0.244	0.3298	0.3737	27.913	-0.0446	12.9554	5.808	4.8275	-1.2991	0.6722	0.9266	2018.062916
Phase Noise	1.3264	-0.0207	2	99	64.0533	107	297	653	1239	2	13.8914	41.277	100.1658	1	0	2	7.1933	884	924	891	1031	180.55	185.8057	189.3345	223.0217	22.17	28.22	24.665	27.4	310	275	286	213	7	9.5714	19.1273	28.8833	0	1	3.06	7.55	177	124	202	310	14	13	31.1236	64.6442	0.08	1	5.925	8.5933	317	466	643	746	21	31	42.1473	49.0708	2	0	3	4.1933	95	54	60	68	5.8	3.5714	3	7	0.06	0	1	0	280	795	652	405	20	65.0914	48.487	23.2833	0	5.2	4	1	991	182.55	23.17	1221	199.6971	28.22	1544	230.6115	26.665	2270	323.1875	34.5933	17111	0.892	0.989	0.9568	0.7568	0.9304	1	0.5771	0.821	0.925	0.4542	0.6901	0.7921	18.555	15.4316	14.9285	13.5472	1.5733	3.0541	2.462	2.077	2011.803051
Photocatalysis	-1.145	-0.1784	1	99	75.8058	1558	4446	12343	27713	125	516.265	1577.9254	3791.177	11	53.99	169.24	433.8267	710	1254	2287	2979	114.4833	232.435	394.0349	441.9581	14.2	39.63	67.26	55	1602	1713	1775	2360	174.05	165	212.3004	201.9942	24	20	16	22.165	297	546	819	1397	44.7333	86	104.95	127.0122	7.63	17	15.96	11.6	481	769	1565	2652	34.8	48	103.4683	232.5938	0	2	6.26	15.5667	205	410	704	1226	24.8	49	102.1389	165.8651	2.67	3	12	13.2683	141	514	757	1096	14	25.925	37	105.5548	0	2	3	7.4633	2268	239.4833	25.2	5700	748.7	93.62	14630	1971.9603	236.5	30692	4233.1351	488.8267	95519	0.3131	0.478	0.5635	0.22	0.3105	0.4233	0.1563	0.1998	0.2844	0.0971	0.1044	0.1125	8.1013	6.9236	4.4454	1.1556	1.294	1.9459	1.5698	0.2808	2014.739591
Photonic Crystal Fiber	0.6916	0.3393	5	99	54.7583	208	520	905	1766	6.8	20.9083	53.9833	168.9005	0.14	1	4.57	16.75	406	376	448	448	61.25	67.075	84.65	61.6907	5.87	9.89	13.32	10.62	327	284	352	383	23.8	19.0333	27	35.3038	1.66	1	2	3	84	143	232	250	12	28.9083	41	18.9791	2	3	3.73	3.96	55	103	51	68	1	6	1.65	6	0	1	0	0	224	267	279	372	55.2	64	61.1167	51.3505	6	8	7	7.96	58	76	55	27	2	0	1	0	0	0	0	0	614	68.05	6.01	896	87.9833	10.89	1353	138.6333	17.89	2214	230.5912	27.37	12352	0.6612	0.9001	0.9767	0.4196	0.7624	0.9082	0.3311	0.6106	0.7446	0.2023	0.2675	0.388	11.817	13.8183	12.9301	4.2062	1.3785	2.438	2.4682	1.4221	2012.282626
Photonic Crystals	-0.0807	0.3162	5	99	110.8354	652	1416	1784	1882	30	101.9667	167.42	210.2284	0	5.58	13.32	26.88	1032	1026	719	664	176.95	168	132.0967	106.6776	23.88	27	16.75	9.89	700	651	384	339	71.95	91.4667	51.09	20	12.92	7.42	11	3	303	275	283	248	32.2667	35.8667	57.75	17.2167	1.08	1	6	1	170	281	260	233	17	37.95	25.93	33	1	2.42	3.81	5	241	265	238	226	30.5333	53.4	38.2	30	2	10.48	4.94	3.5	69	233	223	125	2	13.55	5	3.7361	0	1	0	0	1684	206.95	23.88	2442	269.9667	32.58	2503	299.5167	30.07	2546	316.906	36.77	20632	0.6128	0.855	1	0.4201	0.6223	0.8287	0.2873	0.441	0.557	0.2608	0.3366	0.269	12.5451	9.1732	8.9877	4.8954	2.314	2.2375	1.583	0.0612	2010.928606
Plasma Etching	0.0027	0.3926	3	99	89.5857	133	295	455	806	3	12.42	18.2571	55.2727	0	1	1	3.825	1091	716	592	728	179.6	97.3467	106.9943	166.7586	17.16	6.43	14.325	20.355	810	574	414	484	57.5833	35.245	36.68	47.3428	7	3	2.04	6	261	258	226	332	24.0167	66.0333	57.4571	81.1122	2	12.63	6.135	12.08	392	409	315	344	18.9833	22	14	15.9066	1	2	0	1.375	137	87	89	118	11.0167	11.4	14.1571	19.6912	0	2	1.04	5	45	20	23	34	3	0	0	3.6259	1	0	0	0	1224	182.6	17.16	1011	109.7667	7.43	1047	125.2514	15.325	1534	222.0312	24.18	13481	0.8913	0.9836	1	0.7082	0.8869	0.8654	0.5654	0.8542	0.9347	0.4746	0.7511	0.8418	14.2063	9.3857	14.0608	16.0487	1.5729	0.5591	2.2	2.3215	2010.563756
Plasma Nitriding	-0.4354	0.2453	3	99	103.553	852	1053	1196	1960	51.52	63.2667	130.4775	207.7927	0	8.49	11.14	15.895	989	631	529	509	165.575	91.2167	92.1125	69.6759	19.695	13.47	15	11	773	437	309	283	46.375	23.4667	18	13.6667	4	2	2	2	898	579	534	652	83.51	74.9333	55.3975	80.7449	4.775	8.31	8	5.325	433	328	236	234	32	12	14.725	7.309	1	0	0	1.325	354	310	186	193	66.825	58.7	24.6475	35.6403	15	8	3	1	336	347	255	225	25.85	34.5	21.66	27.6508	3	2.66	2	3.6325	1841	217.095	19.695	1684	154.4833	21.96	1725	222.59	26.14	2469	277.4686	26.895	24208	0.5372	0.7627	1	0.3747	0.5905	0.6134	0.3067	0.4138	0.5738	0.2062	0.2511	0.409	10.6947	8.4477	6.5031	3.0871	1.9914	1.3284	1.9041	1.3501	2010.339888
Polyacetylenes	-1.3532	-0.2219	1	99	34.7173	85	150	194	337	3	13.2667	14.5667	44.55	0	0	0.08	5.64	47	27	32	50	8	8.3667	2.4	5.2	1.75	1.06	0	2	282	221	206	235	37.9	26.3667	29.6333	22.575	2.57	3.03	3.94	3.7	11	6	10	21	2.3	0	3	2	0.2	0	1	0	47	52	62	59	1	4.4	2	1	0	0	0	0	5	7	2	11	0	0	0	1	0	0	0	0	6	6	1	3	0	0	0	1	0	0	0	0	132	11	1.75	177	21.6333	1.06	226	16.9667	0.08	387	49.75	7.64	2309	0.3561	0.7273	1	0.1525	0.3867	1	0.1416	0.1415	0	0.1292	0.1045	0.2618	13.4919	22.1432	-0.0086	-2.8196	3.7234	3.9259	-0.0412	2.3264	2011.343006
Polyaniline	-1.0384	-0.2012	1	99	72.1467	799	1395	1281	991	99.3	157.0771	113.4786	158.8385	11.695	14.31	13.6	26.31	904	731	520	350	168.9417	135.86	103.3625	50.8139	31.075	21.66	13.35	7	628	380	341	224	31	14.5086	14.4482	18.9	2	0	0	1.605	305	194	149	111	26.3	15	16	5	0	0	3	0	373	443	405	335	49.5167	61.3486	50.7857	32.6722	3	14	8.055	2.44	203	122	113	115	12	11	14	21.4333	1	2	2	2	170	167	120	82	7.2333	16.6	13.8429	2	2	1	1	1	1703	268.2417	42.77	2126	292.9371	35.97	1801	216.8411	26.95	1341	209.6524	33.31	23311	0.5308	0.6298	0.7266	0.3438	0.4638	0.6022	0.2887	0.4767	0.4954	0.261	0.2424	0.2101	6.2602	7.3255	11.0188	-1.5098	1.9738	1.9373	1.5056	-0.6549	2010.106645
Porous Silicon	-0.3129	0.3043	3	99	118.6672	623	854	908	609	31.8038	59.6107	83.16	77.9473	2	6	13.4	14.1067	1075	723	566	373	223.561	154.2695	134.3264	68.2622	30.32	26.4	16.83	9.93	1168	765	485	325	97.0114	69.98	45.3404	34.5662	9	7	5.19	1.72	775	520	407	244	106.8167	63.0792	59.7214	32.9242	6.91	5.04	3.11	4.3167	355	475	370	169	25.0571	23.0467	8.8286	11.04	4	3	2.29	3.885	266	173	166	91	18	23	19.9575	8.0231	2	3	1	2	140	239	228	84	15.7667	13	9	5	2	0	0	0	1698	255.3648	32.32	1577	213.8802	32.4	1474	217.4864	30.23	982	146.2095	24.0367	21891	0.6331	0.8755	0.9381	0.4585	0.7213	0.8148	0.384	0.6176	0.5567	0.3798	0.4669	0.4131	15.6914	14.3572	14.574	5.5016	2.4994	2.9489	1.4977	0.3458	2008.75844
Power Amplifier	1.3484	0.007	2	99	62.8607	66	136	375	1036	4	13	39.6533	100.5512	0	1	3.63	6.42	305	387	377	497	59.05	66.2	70.3333	95.4283	9.36	8.44	8.23	8.82	133	122	119	148	7	0	6.6667	9	0.99	0	0	1	50	61	75	117	6	5.7	14.6	9.5436	0	0	4	2	146	268	253	253	13.35	23.4	20.28	12.7158	1	1	2	0.78	85	87	92	171	8	9	8.0667	26.1985	1.54	2	0	6.4	54	97	86	102	2	4.6	1	3.2718	0	1	0	0	371	63.05	9.36	523	79.2	9.44	752	109.9867	11.86	1533	195.9795	15.24	8419	0.8221	0.9366	1	0.74	0.8359	0.8941	0.5013	0.6395	0.6939	0.3242	0.4869	0.5787	13.3	7.5471	8.0818	9.4951	3.0689	1.4456	1.215	1.155	2012.669438
Power Quality	1.3843	-0.109	2	99	60.3265	80	240	967	4290	5.6	20.2667	105.25	459.7291	1	1	10.76	44.7075	387	368	468	941	59.9	54.6667	65	138.2079	7.28	5	10	10.3975	118	99	95	153	6	12	12	12	1	2	1	1	68	91	110	317	10	27.3333	22	51.4391	1.36	9.28	4	6	94	137	243	507	10.1	8	24.5	32.8522	1	0	0	0.3975	136	172	293	724	12	17	53.7	94.7951	0	0	6.46	7	191	114	141	189	4.5	5	11.8	2.3	0	0	1	0	467	65.5	8.28	608	74.9333	6	1435	170.25	20.76	5231	597.937	55.105	22113	0.8287	0.9145	0.8792	0.6053	0.7295	0.8333	0.3261	0.3818	0.4817	0.1799	0.2311	0.1887	8.478	6.4106	3.0047	3.971	0.6311	0.942	1.024	0.0628	2014.681228
Quantum Cascade Lasers	0.1241	0.4033	3	99	109.9667	29	71	108	199	0	3	4	10.975	0	0	1	1.73	219	312	268	255	38.4667	41.3	44.45	36.7125	3.13	6.4	6.17	4.01	62	69	38	65	1	3.2	4	5.8625	0	0	0	0	108	128	105	132	4.3667	11	11.9	14.0458	0	0.5	1.71	2.45	2	12	8	11	0	0	0	0	0	0	0	0	133	158	127	133	15	16	17	16.925	2	2.44	0	1.26	1	7	4	3	0	0	0	0	0	0	0	0	248	38.4667	3.13	383	44.3	6.4	376	48.45	7.17	454	47.6875	5.74	3500	0.8831	1	1	0.8146	0.9323	1	0.7128	0.9174	0.8605	0.5617	0.7699	0.6986	17.5647	9.0118	12.8821	8.882	1.4292	2.0513	1.3763	0.7032	2011.329429
Quantum Dots	-0.92	-0.0628	1	99	103.4302	1175	2526	3449	3511	47.35	138.85	248.5	506.1289	0	7	22.79	68.35	968	1702	2100	2006	237.95	360.65	455.74	343.2149	33.51	50.68	67.25	40.8	340	375	331	363	13	33	26.9	22.2476	0	1	1.62	2	337	423	459	582	51.8	41.3	58.54	66.2874	4.19	3	6	2.26	97	433	717	929	9	31.3	71.9	104.802	0	4	16	10.06	133	247	265	323	9	21	27	31.2484	0	2	2	1	46	191	197	144	0.7	15	14	10.1143	0	0	0	3	2143	285.3	33.51	4228	499.5	57.68	5549	704.24	90.04	5517	849.3438	109.15	33729	0.4517	0.834	1	0.4026	0.722	0.8786	0.3784	0.6471	0.7469	0.3636	0.4041	0.3738	20.5518	15.6929	14.4969	2.6939	3.4618	2.7006	2.5416	0.0872	2012.565922
Quantum Hall Effect	-0.5823	0.4641	4	99	81.4327	347	379	341	473	12.325	11	17.3171	58.8117	1	0	2.74	4.845	1965	1298	950	939	339.465	226.0139	148.7248	143.5733	43.37	27.71	18.84	23.265	770	413	251	233	36	29.2625	20.6905	39.9542	3	1	1.95	10.485	1169	739	514	397	124.85	79.7089	58.6105	45.6058	9.45	5.11	7	4.74	135	111	81	85	3	5	3	8	0	1	0	1	549	348	208	203	48.54	39.4975	17	29.4742	2	2.73	0	2.36	143	86	83	76	4	4	7.0571	13.3917	0	0	0	0.03	2312	351.79	44.37	1677	237.0139	27.71	1291	166.0419	21.58	1412	202.385	28.11	18597	0.8499	0.965	0.9775	0.774	0.9536	1	0.7359	0.8957	0.873	0.665	0.7094	0.8276	13.7237	14.5101	10.5769	2.8563	1.9189	2.1348	1.1796	1.4533	2008.73243
Quantum Wells	-0.1093	0.4076	4	99	114.5671	563	540	422	359	47.235	63.1667	34.86	30.2106	8.32	8.48	2.34	1.845	981	376	160	163	140.075	33	9.08	6.7602	14.4167	2	0	0	504	210	103	98	24.875	12.8	17	16.2653	2	1	6	5.71	667	166	78	83	89.44	25.2	6.08	17.5875	10	1	1	2	181	87	94	53	8	1	2	3.6778	1	0	0	0	301	135	99	98	27.875	17.7667	11.08	13	3.13	1	1	2.7	157	73	26	16	14	0	1	0	0	0	0	0	1544	187.31	22.7367	916	96.1667	10.48	582	43.94	2.34	522	36.9708	1.845	12059	0.6354	0.7478	0.6341	0.4105	0.3432	0.1908	0.2749	0.2066	0	0.3123	0.1829	0	5.8889	-2.9209	-2.5857	-4.2678	-0.0082	-1.0385	-0.5545	-0.5139	2008.11195
Resistive Switching	0.2989	-0.24	2	99	128.4685	12	249	1161	3068	1	19	95.1917	389.9026	0	1	5.245	32.1017	68	242	779	1389	10.7	55.6	160.4	254.8106	0.62	7.5	27.815	45.6083	25	152	271	302	4.9	17	26.7083	16.8231	0	0	3	1	12	83	233	405	2	11	38	49.675	0.79	2	3	4	17	343	744	1256	3	29.8	54.7	141.2437	1.21	1	3.42	11.32	12	30	148	292	0	0	16	33.025	0	0	4	6	2	109	449	509	0	8	23	30.3167	0	0	1	3	80	11.7	0.62	491	74.6	8.5	1940	255.5917	33.06	4457	644.7132	77.71	13543	0.85	0.9145	1	0.4929	0.7453	0.8824	0.4015	0.6276	0.8413	0.3116	0.3952	0.5869	7.402	15.3447	12.3914	5.6362	0.9118	2.6976	3.1188	2.2372	2015.929632
SERS	-0.6782	0.0493	1	99	108.4599	420	754	1241	2325	38.25	114.975	159.68	329.4792	6.535	10.79	18.89	39.94	1164	807	634	743	139.8083	72.925	65.32	72.8389	14.145	6	9.74	3.585	167	110	94	84	6.1667	8	10.56	7	1	1	0.31	0.24	249	206	242	302	28.6417	17.325	31.9	21.0146	1	2	6.59	2	196	155	153	218	19.0167	5.55	7.9	11.1556	2.21	1	0	0	230	200	192	232	36.5333	14	39.3	24.3368	3.535	2.82	6	2	265	467	499	323	27.35	50.55	41.66	26.7312	0.46	7	0.31	1.22	2915	423.9667	61.975	6689	909.6579	110.75	10964	1423.6259	162.9	12572	1641.1211	198.3437	67139	0.6322	0.8868	0.9839	0.5406	0.7801	0.8552	0.4177	0.5962	0.7314	0.3241	0.3836	0.4623	15.9221	13.1151	9.5259	3.5498	3.2152	2.0972	1.916	0.9955	2012.789109
SRAM	1.337	-0.1203	2	99	62.4892	514	1505	2037	3166	18	142.2429	223.1965	448.383	2	8	17.465	47.2	727	1240	1651	1426	141.8333	215.6981	270.01	214.2628	17.65	26.8	50.1383	30	884	859	874	803	58.7833	70.9429	80.7729	59.5751	3.85	8.26	7.7533	5	500	551	625	699	66.7333	85.0275	103.4502	70.7891	10.98	11	9	7.1467	149	393	830	850	13	27	72.4032	80.477	0	0	8.0633	8	386	442	554	614	60.8333	61.1179	89.1998	88.9845	6.68	7	10.6933	14.95	35	182	234	179	2	8	7	5	0	0	1	0	612	116.6	14.67	723	108.6	10.87	782	87.4	13.34	865	111.9984	15.14	7699	0.9444	0.9914	1	0.8949	0.988	1	0.7737	0.9519	0.9513	0.6312	0.6975	0.6797	17.0588	14.8737	11.3792	3.6888	2.5381	1.6801	1.7303	0.3642	2011.734901
